area_type,availability,size,society,location,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,2 BHK,Coomee ,Alandi Road,1056,2,1,39.07
Plot  Area,Ready To Move,4 Bedroom,Theanmp,Ambegaon Budruk,2600,5,3,120
Built-up  Area,Ready To Move,3 BHK,,Anandnagar,1440,2,3,62
Super built-up  Area,Ready To Move,3 BHK,Soiewre,Aundh,1521,3,1,95
Super built-up  Area,Ready To Move,2 BHK,,Aundh Road,1200,2,1,51
Super built-up  Area,Ready To Move,2 BHK,DuenaTa,Balaji Nagar,1170,2,1,38
Super built-up  Area,18-May,4 BHK,Jaades ,Baner,2732,4,,204
Super built-up  Area,Ready To Move,4 BHK,Brway G,Baner road,3300,4,,600
Super built-up  Area,Ready To Move,3 BHK,,Bhandarkar Road,1310,3,1,63.25
Plot  Area,Ready To Move,6 Bedroom,,Bhavani Peth,1020,6,,370
Super built-up  Area,18-Feb,3 BHK,,Bibvewadi,1800,2,2,70
Plot  Area,Ready To Move,4 Bedroom,Prrry M,Bopodi,2785,5,3,295
Super built-up  Area,Ready To Move,2 BHK,Shncyes,Budhwar Peth,1000,2,1,38
Built-up  Area,Ready To Move,2 BHK,,Bund Garden Road,1100,2,2,40
Plot  Area,Ready To Move,3 Bedroom,Skityer,Camp,2250,3,2,148
Super built-up  Area,Ready To Move,2 BHK,PrntaEn,Chandan Nagar,1175,2,2,73.5
Super built-up  Area,Ready To Move,3 BHK,Prityel,Dapodi,1180,3,2,48
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,Deccan Gymkhana,1540,3,3,60
Super built-up  Area,Ready To Move,3 BHK,PeBayle,Dehu Road,2770,4,2,290
Super built-up  Area,Ready To Move,2 BHK,,Dhankawadi,1100,2,2,48
Built-up  Area,Ready To Move,1 BHK,,Dhayari Phata,600,1,1,15
Super built-up  Area,19-Dec,3 BHK,She 2rk,Dhole Patil Road,1755,3,1,122
Plot  Area,Ready To Move,4 Bedroom,Soitya ,Erandwane,2800,5,2,380
Super built-up  Area,Ready To Move,3 BHK,,Fatima Nagar,1767,3,1,103
Super built-up  Area,18-Nov,1 RK,Bhe 2ko,Fergusson College Road,510,1,0,25.25
Super built-up  Area,18-May,3 BHK,,Ganesh Peth,1250,3,2,56
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,Ganeshkhind,660,1,1,23.1
Built-up  Area,20-Dec,3 BHK,,Ghorpade Peth,1610,3,2,81
Super built-up  Area,17-Oct,2 BHK,ViistLa,other,1151,2,2,48.77
Super built-up  Area,Ready To Move,3 BHK,KBityo ,Gokhale Nagar,1025,2,1,47
Super built-up  Area,19-Dec,4 BHK,LedorSa,Gultekdi,2100 - 2850,4,0,186
Super built-up  Area,Ready To Move,3 BHK,Prityel,Guruwar peth,1075,2,1,35
Super built-up  Area,Ready To Move,3 BHK,Mahosya,Hadapsar,1760,2,2,123
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,Hadapsar Industrial Estate,1693,3,3,57.39
Built-up  Area,Ready To Move,3 BHK,Kantsce,Hingne Khurd,1925,3,,125
Super built-up  Area,21-Dec,2 BHK,PrarePa,Jangali Maharaj Road,700,2,1,36
